,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
63,443060,KR7443060009,HD현대마린솔루션,KOSPI,,195700,1,5700,3.0,190600,198400,187000,73855,14267761450,8773076397000,44829210,STK
64,000100,KR7000100008,유한양행,KOSPI,,109300,1,2900,2.73,106400,109600,105700,434195,47117269000,8740550164100,79968437,STK
65,071050,KR7071050009,한국금융지주,KOSPI,,151900,1,8400,5.85,147600,152300,145000,460722,68800996700,8464778184800,55725992,STK
66,047810,KR7047810007,한국항공우주,KOSPI,,86800,1,700,0.81,87000,88600,86100,443643,38672639650,8460839287600,97475107,STK
67,180640,KR7180640005,한진칼,KOSPI,,123400,1,4400,3.7,117200,126200,117200,92127,11385714500,8238465228600,66762279,STK
68,000720,KR7000720003,현대건설,KOSPI,,73400,2,-300,-0.41,74300,74900,71900,785150,57779242600,8173513151000,111355765,STK
69,010120,KR7010120004,LS ELECTRIC,KOSPI,,272000,1,2500,0.93,276500,276500,264500,136217,36889147500,8160000000000,30000000,STK
70,064400,KR7064400005,LG씨엔에스,KOSPI,,81400,2,-100,-0.12,82500,83500,80600,679857,55619499750,7886516167200,96885948,STK
71,090430,KR7090430000,아모레퍼시픽,KOSPI,,134300,1,1000,0.75,132700,134800,132300,203052,27159650350,7855577533700,58492759,STK
72,010620,KR7010620003,HD현대미포,KOSPI,,185100,1,7800,4.4,180700,187300,178900,352001,64772146550,7393291779900,39942149,STK
73,326030,KR7326030004,SK바이오팜,KOSPI,,93600,1,900,0.97,92100,94400,91800,151274,14131337100,7330120200000,78313250,STK
74,021240,KR7021240007,코웨이,KOSPI,,99500,2,-1400,-1.39,99600,100500,98600,240909,24029991800,7154958733500,71909133,STK
75,010950,KR7010950004,S-Oil,KOSPI,,63500,1,1800,2.92,61900,63800,61800,338161,21376363000,7149007292000,112582792,STK
76,005940,KR7005940002,NH투자증권,KOSPI,,21950,1,1050,5.02,21200,22150,20900,1199535,26055823275,7113694394750,324086305,STK
77,000880,KR7000880005,한화,KOSPI,,91800,1,2900,3.26,91000,93300,88300,717421,65687998500,6881211873000,74958735,STK
78,016360,KR7016360000,삼성증권,KOSPI,,75600,1,2200,3.0,74300,75900,73400,487952,36585220700,6751080000000,89300000,STK
79,028300,KR7028300002,HLB,KOSDAQ,중견기업부,49250,1,350,0.72,48700,49750,48400,315232,15472190525,6472950401250,131430465,KSQ
80,032640,KR7032640005,LG유플러스,KOSPI,,14760,1,170,1.17,14460,14770,14340,818773,12005247220,6444383688360,436611361,STK
81,278470,KR7278470000,에이피알,KOSPI,,162300,1,1100,0.68,159600,164500,159300,322916,52243423150,6174550126500,38044055,STK
82,006260,KR7006260004,LS,KOSPI,,190400,1,6200,3.37,193100,195600,188000,318399,61133281050,6130880000000,32200000,STK
83,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,590000,1,2000,0.34,576000,597000,574000,94990,55832363000,6129892320000,10389648,KSQ
84,029780,KR7029780004,삼성카드,KOSPI,,52900,1,300,0.57,52600,53700,52600,80304,4258781650,6128935333900,115858891,STK
85,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,44800,2,-100,-0.22,45400,45800,44550,343762,15461392200,6082771609600,135776152,KSQ
86,039490,KR7039490008,키움증권,KOSPI,,230500,1,3000,1.32,230000,236000,225500,223616,51945008500,5829625518500,25291217,STK
87,009830,KR7009830001,한화솔루션,KOSPI,,33300,2,-2000,-5.67,34200,34250,32100,3531539,117321043650,5724021448800,171892536,STK
88,005387,KR7005382007,현대차2우B,KOSPI,,161500,2,-200,-0.12,161500,161600,159500,67260,10787666300,5646674695000,34963930,STK
89,088980,KR7088980008,맥쿼리인프라,KOSPI,,11570,1,80,0.7,11500,11650,11490,1193374,13831880300,5541127459010,478921993,STK
90,241560,KR7241560002,두산밥캣,KOSPI,,56800,1,1800,3.27,55600,57500,55100,306396,17309275650,5444624492000,95856065,STK
